,Open,High,Low,Close,Volume,datetime
29,493.18,493.22,491.4,491.83,6428,2026-08-27 01:30:00
29,219.85,222.11,219.75,221.65,414162,2026-08-27 01:30:00
29,342.09,342.13,341.54,341.61,7765,2026-08-27 01:30:00
29,61.49,61.61,61.49,61.54,262,2026-08-27 02:00:00
29,346.61,347.08,346.17,346.73,6532,2026-08-27 01:30:00
29,260.33,260.84,260.29,260.59,7220,2026-08-27 01:30:00
30,341.68,341.95,341.6,341.66,3797,2026-08-27 02:00:00
30,221.68,221.9,220.98,221.22,160962,2026-08-27 02:00:00
30,275.73,275.78,275.46,275.78,216,2026-08-27 02:00:00
30,260.57,260.95,260.55,260.59,7737,2026-08-27 02:00:00
30,491.83,492.45,491.5,492.45,2342,2026-08-27 02:00:00
30,346.77,347.03,346.41,346.53,7189,2026-08-27 02:00:00
30,576.5,577.04,576.02,576.38,3356,2026-08-27 02:00:00
30,80.81,80.89,80.75,80.85,1910,2026-08-27 02:00:00
30,310.69,311.01,310.5,310.95,4169,2026-08-27 02:00:00
30,61.54,61.6,61.54,61.54,210,2026-08-27 02:30:00
31,341.72,342.23,341.72,341.95,3170,2026-08-27 02:30:00
31,260.59,260.6,260.37,260.43,5852,2026-08-27 02:30:00
31,310.96,311.21,310.87,311.03,2399,2026-08-27 02:30:00
31,576.19,577.3,576.19,576.4,3879,2026-08-27 02:30:00
31,61.56,61.56,61.54,61.54,93,2026-08-27 03:00:00
31,492.25,492.51,492.02,492.08,1004,2026-08-27 02:30:00
31,346.54,346.85,346.47,346.57,5015,2026-08-27 02:30:00
31,221.24,221.44,220.65,221.0,131346,2026-08-27 02:30:00
31,80.78,80.95,80.75,80.83,2755,2026-08-27 02:30:00
31,275.78,276.1,275.74,276.01,152,2026-08-27 02:30:00
32,346.62,346.98,346.5,346.89,5119,2026-08-27 03:00:00
32,260.43,260.65,260.35,260.63,2232,2026-08-27 03:00:00
32,80.85,80.97,80.76,80.91,1126,2026-08-27 03:00:00
32,492.33,492.64,492.1,492.48,816,2026-08-27 03:00:00
32,576.52,576.92,576.18,576.42,2992,2026-08-27 03:00:00
32,61.55,61.55,61.54,61.54,300,2026-08-27 04:00:00
32,311.0,311.23,310.91,310.92,3984,2026-08-27 03:00:00
32,276.01,276.15,275.99,276.15,16,2026-08-27 03:00:00
32,341.95,342.24,341.92,342.01,5772,2026-08-27 03:00:00
32,220.97,221.72,220.8,221.54,121382,2026-08-27 03:00:00
33,492.51,493.12,492.45,492.85,2195,2026-08-27 03:30:00
33,61.54,61.55,61.54,61.54,837,2026-08-27 04:30:00
33,346.91,346.97,346.48,346.61,4637,2026-08-27 03:30:00
33,221.55,221.59,221.0,221.47,67230,2026-08-27 03:30:00
33,260.65,260.88,260.35,260.35,2703,2026-08-27 03:30:00
33,310.93,311.1,310.83,310.96,4577,2026-08-27 03:30:00
33,276.1,276.1,275.72,275.73,389,2026-08-27 03:30:00
33,576.45,576.75,576.31,576.33,2113,2026-08-27 03:30:00
33,80.95,80.97,80.8,80.82,989,2026-08-27 03:30:00
33,342.02,342.37,342.0,342.24,9123,2026-08-27 03:30:00
34,221.44,221.7,221.1,221.25,85213,2026-08-27 04:00:00
34,310.98,311.36,310.92,311.26,5807,2026-08-27 04:00:00
34,260.38,260.44,260.16,260.25,2521,2026-08-27 04:00:00
34,346.64,346.9,346.45,346.5,2640,2026-08-27 04:00:00
34,275.91,276.53,275.91,276.3,777,2026-08-27 04:00:00
34,492.85,492.97,492.4,492.4,3245,2026-08-27 04:00:00
34,576.45,576.79,576.18,576.48,1708,2026-08-27 04:00:00
34,80.82,80.92,80.77,80.82,2873,2026-08-27 04:00:00
34,61.54,61.63,61.46,61.47,411,2026-08-27 05:00:00
34,342.24,342.27,341.97,342.05,5590,2026-08-27 04:00:00
35,492.41,492.47,492.0,492.1,1709,2026-08-27 04:30:00
35,260.27,260.31,260.01,260.09,4692,2026-08-27 04:30:00
35,61.47,61.56,61.32,61.48,1366,2026-08-27 05:30:00
35,346.5,346.59,345.8,345.96,6161,2026-08-27 04:30:00
35,276.3,276.32,276.3,276.32,230,2026-08-27 04:30:00
35,342.08,342.16,341.6,341.85,8318,2026-08-27 04:30:00
35,80.82,80.84,80.7,80.7,4457,2026-08-27 04:30:00
35,311.3,311.3,311.0,311.02,3272,2026-08-27 04:30:00
35,221.25,221.31,221.0,221.15,71881,2026-08-27 04:30:00
35,576.45,576.55,575.95,576.03,3221,2026-08-27 04:30:00
36,80.7,80.85,80.61,80.65,10297,2026-08-27 05:00:00
36,221.16,221.27,220.8,220.95,102452,2026-08-27 05:00:00
36,276.32,276.45,276.3,276.3,489,2026-08-27 05:00:00
36,492.1,492.95,492.0,492.0,4107,2026-08-27 05:00:00
36,61.48,61.56,61.48,61.56,64,2026-08-27 06:00:00
36,341.87,341.89,341.0,341.13,11479,2026-08-27 05:00:00
36,311.0,311.0,310.5,310.64,7024,2026-08-27 05:00:00
36,576.17,576.22,574.51,574.51,4950,2026-08-27 05:00:00
36,346.1,346.18,345.52,346.05,5244,2026-08-27 05:00:00
36,260.14,260.14,259.7,259.7,8832,2026-08-27 05:00:00
37,276.3,276.3,275.15,275.15,267,2026-08-27 05:30:00
37,220.95,221.27,220.38,221.16,124422,2026-08-27 05:30:00
37,346.05,346.08,345.17,345.48,9671,2026-08-27 05:30:00
37,492.02,492.07,491.2,491.2,7042,2026-08-27 05:30:00
37,310.6,310.71,310.27,310.52,9972,2026-08-27 05:30:00
37,80.65,80.65,80.5,80.61,5814,2026-08-27 05:30:00
37,259.73,259.73,258.7,259.0,11830,2026-08-27 05:30:00
37,61.46,61.5,61.39,61.5,509,2026-08-27 06:30:00
37,341.03,341.14,340.44,340.73,17437,2026-08-27 05:30:00
37,574.94,575.06,573.29,573.97,9966,2026-08-27 05:30:00
38,259.05,259.65,258.97,259.36,16233,2026-08-27 06:00:00
38,573.65,574.01,572.8,573.8,7615,2026-08-27 06:00:00
38,80.56,80.61,80.41,80.6,5914,2026-08-27 06:00:00
38,310.58,310.7,310.2,310.69,12414,2026-08-27 06:00:00
38,275.27,275.86,275.13,275.84,178,2026-08-27 06:00:00
38,491.5,491.99,490.89,491.72,5380,2026-08-27 06:00:00
38,340.73,340.99,340.5,340.63,10249,2026-08-27 06:00:00
38,345.51,346.15,345.25,345.93,7735,2026-08-27 06:00:00
